set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.01,-10.14557249421214
t,272.38,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,298.0,0.1,-10.273272790973428
t,272.38,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,298.0,0.1,-10.4089353929735
t,272.4,4.01,449.0,-7.886056647693163,-3.876056647693163,2.0,2.0,298.0,0.1,-10.380906669373257
t,272.4,4.01,449.0,-7.878266403266911,-3.868266403266911,2.0,2.0,310.0,0.1,-10.242782656451999
t,272.4,4.01,449.0,-7.878266403266911,-3.868266403266911,2.0,2.0,298.0,0.1,-10.401145148547249
t,272.4,4.01,449.0,-7.878266403266911,-3.868266403266911,2.0,2.0,298.0,0.1,-10.401145148547249
t,272.4,4.01,449.0,-7.878266403266911,-3.868266403266911,2.0,2.0,310.0,0.1,-9.95835192260748
t,272.4,4.01,449.0,-7.878266403266911,-3.868266403266911,2.0,2.0,310.0,0.1,-12.575070345846422
t*,272.4,4.01,449.0,-7.795880017344075,-3.7858800173440748,2.0,2.0,305.0,0.1,-9.943845409406475
t,272.38,4.01,449.0,-7.7447274948966935,-3.7347274948966938,2.0,2.0,310.0,0.1,-9.957976072751134
